Curricular units 2nd sem (grade),Curricular units 2nd sem (approved),Tuition fees up to date,Curricular units 1st sem (grade),Curricular units 1st sem (approved),Scholarship holder,Debtor,Curricular units 2nd sem (evaluations),Target
10.6,5,1,11.166666666666666,6,1,0,10,1
0.0,0,1,0.0,0,0,0,0,0
12.166666666666666,6,0,11.75,8,0,1,19,0
14.0,6,1,14.0,6,0,0,7,1
12.0,6,1,12.833333333333334,6,0,0,6,1
11.666666666666666,3,1,12.25,4,0,0,10,1
14.828571428571427,7,1,14.828571428571427,7,0,0,8,1
12.8,5,1,11.4,5,1,0,8,1
12.5,6,1,13.0,6,1,0,8,1
13.671428571428573,7,1,13.671428571428573,7,1,0,8,1
12.8,5,1,12.666666666666666,6,1,0,8,1
13.0,1,0,10.0,2,0,0,12,0
12.333333333333334,5,1,13.5,5,0,0,8,1
13.55,8,1,12.67,7,0,0,8,1
15.428571428571429,6,1,14.5,6,0,0,7,1
15.3875,8,1,13.685714285714283,7,0,0,8,1
10.666666666666666,3,1,11.0,5,0,0,10,0
13.2,5,0,11.555555555555555,7,0,1,12,0
13.812857142857142,7,1,14.00375,7,1,0,11,1
11.4,4,1,12.0,4,1,0,8,1
14.166666666666666,6,1,14.166666666666666,5,1,0,7,1
13.8,5,1,14.0,5,0,0,5,1
12.833333333333334,6,1,13.8,5,1,0,6,1
11.857142857142858,6,1,12.8,5,0,0,10,1
13.833333333333334,6,1,12.166666666666666,6,0,0,6,1
11.5,4,1,12.0,4,0,0,12,1
11.5,6,1,10.833333333333334,6,1,0,9,1
13.385,8,1,13.385,8,0,0,8,1
14.5,6,1,15.666666666666666,6,0,0,9,1
13.833333333333334,6,1,14.333333333333334,6,1,1,7,1
11.666666666666666,6,1,11.666666666666666,6,1,0,8,1
11.333333333333334,2,1,12.0,5,1,0,10,0
14.725714285714288,7,1,14.725714285714288,7,1,0,8,1
13.666666666666666,6,1,14.166666666666666,6,1,0,6,1
12.333333333333334,6,1,11.571428571428571,6,0,0,8,1
13.1375,8,1,12.5,7,0,0,8,1
12.86,8,1,12.86,8,0,0,10,1
13.714285714285714,6,1,12.25,6,0,0,9,1
12.2,5,1,12.0,4,1,0,5,1
16.168888888888887,8,1,15.116666666666667,7,1,0,9,1
10.25,4,0,12.5,2,0,1,6,0
0.0,0,1,0.0,0,0,0,0,0
14.6,4,1,11.875,6,0,0,11,1
0.0,0,1,11.0,1,0,0,5,0
13.2,5,1,15.2,5,0,0,6,1
11.0,2,0,11.6,5,0,1,12,0
15.142857142857142,6,1,14.833333333333334,6,0,1,7,1
11.333333333333334,3,1,11.333333333333334,3,0,0,10,0
11.8,5,1,11.2,5,1,0,5,1
13.666666666666666,5,1,13.4,5,1,0,9,1
0.0,0,1,10.5,2,0,0,5,0
16.4,5,1,16.2,5,0,0,5,1
14.88181818181818,8,1,14.542857142857144,7,1,0,11,1
14.355555555555554,8,1,13.694285714285714,7,0,0,9,1
11.857142857142858,6,1,11.285714285714286,6,1,0,10,1
0.0,0,0,0.0,0,0,1,0,0
13.058571428571428,7,1,13.058571428571428,7,1,0,8,1
14.055555555555555,8,1,14.3,7,0,0,9,1
12.0,8,1,11.8,5,0,0,14,1
11.666666666666666,3,1,10.571428571428571,6,0,0,11,1
13.333333333333334,6,1,13.333333333333334,6,0,0,7,1
11.0,5,1,11.857142857142858,6,0,1,9,1
0.0,0,1,0.0,0,0,1,5,0
13.0,6,1,12.0,6,0,0,7,1
11.666666666666666,6,1,12.666666666666666,6,0,0,6,1
13.666666666666666,6,1,12.166666666666666,6,1,0,9,1
14.666666666666666,6,1,13.333333333333334,6,0,0,6,1
14.571428571428571,7,1,15.0,7,0,1,7,1
13.39125,8,1,13.39125,8,1,0,8,1
12.428571428571429,6,1,12.166666666666666,5,0,0,8,1
12.5,4,1,11.25,4,0,0,6,1
0.0,0,1,0.0,0,0,0,0,0
12.857142857142858,6,1,12.833333333333334,6,0,0,8,1
13.1,6,1,14.0,6,0,0,11,1
12.5,6,1,13.5,6,0,0,8,1
11.666666666666666,5,1,11.0,5,0,0,9,1
13.833333333333334,6,1,13.0,6,0,0,6,1
11.5,4,1,12.6,4,0,0,6,0
13.333333333333334,6,1,13.666666666666666,6,1,0,6,1
0.0,0,0,0.0,0,0,0,0,0
14.2,6,1,14.2,6,1,1,7,1
0.0,0,0,11.0,5,0,1,12,0
16.428571428571427,6,1,15.0,6,0,0,7,1
13.44285714285714,7,1,12.585714285714284,6,0,0,9,1
0.0,0,1,0.0,0,0,0,0,0
0.0,0,1,0.0,0,0,0,0,0
11.833333333333334,6,1,11.666666666666666,6,0,0,10,1
10.0,2,1,12.666666666666666,3,0,1,12,0
13.714285714285714,7,1,13.5,8,1,0,16,1
15.75,6,1,16.153846153846153,6,1,0,10,1
14.033333333333331,6,1,14.033333333333331,6,1,0,7,1
13.666666666666666,6,1,13.857142857142858,7,1,0,8,1
13.414285714285716,7,1,13.414285714285716,7,0,0,8,0
13.571428571428571,7,1,13.545454545454543,11,0,0,7,1
14.428571428571429,6,1,13.833333333333334,6,1,0,7,1
12.857142857142858,5,1,12.0,5,0,0,9,1
0.0,0,1,0.0,0,0,0,0,0
0.0,0,0,0.0,0,0,0,0,0
15.287499999999998,8,1,15.135714285714286,7,1,0,8,1
10.978571428571428,6,1,12.74,5,1,0,12,0
13.166666666666666,6,1,13.428571428571429,6,1,0,6,1
11.11111111111111,8,1,12.555555555555555,9,0,0,14,1
11.166666666666666,6,1,11.5,6,0,0,7,1
12.333333333333334,6,1,13.666666666666666,6,0,0,9,1
12.0,10,1,11.272727272727272,11,0,0,16,1
14.166666666666666,6,1,14.666666666666666,6,1,0,6,1
11.4,5,0,13.0,5,0,1,8,0
12.333333333333334,2,0,10.5,2,0,0,8,0
14.0,6,1,14.857142857142858,6,0,0,7,1
12.86,7,1,12.86,7,1,0,11,1
12.0,11,1,11.727272727272728,11,0,0,14,1
12.0,3,1,13.142857142857142,6,1,0,10,1
13.714285714285714,4,1,11.8,5,0,1,9,0
0.0,0,1,10.666666666666666,3,0,0,9,0
14.731428571428571,7,1,14.731428571428571,7,0,0,8,1
0.0,0,1,0.0,0,0,0,0,1
14.25,12,1,13.615384615384617,13,0,0,12,1
14.8,5,1,15.8,5,0,0,5,1
14.571428571428571,6,1,14.666666666666666,6,0,0,7,1
0.0,0,1,0.0,0,0,0,5,0
14.654285714285717,7,1,14.654285714285717,7,1,0,8,1
12.401428571428571,7,1,12.401428571428571,7,0,0,8,1
14.071428571428571,7,1,11.5875,7,0,0,9,1
15.6,5,1,14.0,5,0,0,5,1
11.833333333333334,6,1,12.333333333333334,6,1,0,6,1
15.4,5,1,14.0,5,0,0,6,1
12.375,6,1,15.23076923076923,6,0,0,10,1
11.0,3,1,11.6,5,0,0,9,0
11.6,6,1,11.6,6,1,0,7,1
0.0,0,1,0.0,0,0,0,0,0
13.094444444444443,8,1,12.901428571428571,7,1,0,9,1
14.8,5,1,14.142857142857142,7,0,0,5,1
0.0,0,1,0.0,0,0,0,0,0
13.25375,8,1,13.25375,8,0,0,8,1
14.1,8,1,13.785714285714286,7,0,0,8,1
13.916666666666666,6,1,13.916666666666666,6,0,0,7,1
13.571428571428571,6,1,13.5,6,0,0,9,1
0.0,0,1,0.0,0,0,0,12,0
14.6,4,1,11.5,5,0,0,9,1
12.082857142857142,7,1,12.082857142857142,7,1,0,8,1
12.8,5,1,11.833333333333334,6,1,0,10,1
12.4,5,1,13.4,5,1,0,5,1
0.0,0,1,0.0,0,1,0,7,0
14.571428571428571,6,1,14.2,5,0,0,7,1
13.814285714285717,7,1,13.814285714285717,7,1,0,8,1
13.666666666666666,6,1,14.5,6,1,0,8,1
0.0,0,1,0.0,0,0,0,0,0
11.3,6,1,11.3,6,0,0,7,1
12.3,7,1,12.3,7,0,0,9,1
12.694285714285714,7,1,12.694285714285714,7,1,0,8,1
11.0,4,1,11.0,4,0,0,5,1
14.166666666666666,6,1,13.0,6,1,0,6,1
16.05,8,1,14.4125,7,1,0,8,1
14.0625,8,1,12.92875,7,0,0,8,0
12.8,5,1,13.333333333333334,6,0,0,10,1
14.402857142857142,7,1,14.402857142857142,7,0,0,8,1
13.381428571428572,7,1,13.381428571428572,7,1,0,8,1
13.98375,8,1,14.13125,7,0,0,8,1
12.6,5,1,11.714285714285714,5,0,0,6,1
11.0,2,1,11.166666666666666,6,0,0,15,1
0.0,0,1,0.0,0,0,0,6,0
12.0,5,1,13.6,5,0,0,8,0
14.090909090909092,11,1,13.846153846153848,12,0,0,18,1
13.333333333333334,6,1,12.5,6,1,0,8,1
14.6,5,1,16.4,5,0,0,5,1
13.454545454545457,11,1,13.818181818181818,11,1,0,11,1
10.5,4,1,10.6,5,0,0,11,1
12.2,5,1,10.2,5,0,1,6,1
10.8,5,1,11.444444444444445,9,0,0,11,0
13.266666666666667,13,1,13.0,16,1,0,15,1
13.31,8,1,13.31,8,1,0,9,1
12.2,5,1,10.571428571428571,5,1,0,9,1
13.487142857142857,7,1,13.487142857142857,7,1,0,8,1
11.833333333333334,6,1,12.333333333333334,6,1,0,7,1
12.833333333333334,5,1,11.875,6,0,0,9,0
13.966666666666669,6,1,13.966666666666669,6,0,0,7,1
0.0,0,0,0.0,0,0,0,10,0
12.8,5,1,11.5,4,0,0,5,1
0.0,0,1,12.5,2,0,0,0,0
0.0,0,1,0.0,0,0,0,0,0
13.225,7,1,11.98,6,0,0,11,1
14.0375,8,1,11.614285714285714,6,0,0,8,1
14.314285714285717,7,1,14.314285714285717,7,1,0,8,1
0.0,0,1,0.0,0,0,0,0,0
12.128571428571428,7,1,12.766666666666666,6,1,0,10,1
12.2,5,1,12.666666666666666,6,1,0,7,1
10.571428571428571,4,1,11.5,6,0,0,10,0
11.75,4,1,11.4,5,0,0,14,0
14.4775,8,1,14.70625,7,1,0,8,1
13.542857142857144,7,1,11.814285714285717,6,1,0,8,1
11.875,6,1,13.0,6,0,0,8,1
13.333333333333334,6,1,14.857142857142858,6,0,0,6,1
12.6,6,1,12.6,6,0,0,7,1
11.0,1,0,11.5,2,0,1,5,0
0.0,0,1,10.0,1,0,0,0,0
12.2,5,1,11.8,5,0,0,10,1
12.666666666666666,6,1,11.8,5,0,0,6,1
12.77125,8,1,12.77125,8,0,0,8,1
14.6,5,1,12.666666666666666,6,0,0,7,1
0.0,0,0,12.0,1,0,0,10,0
11.721428571428572,7,1,11.721428571428572,7,1,0,12,1
13.666666666666666,6,1,12.666666666666666,6,0,0,6,1
14.0,5,1,13.0,4,0,0,6,0
0.0,0,1,0.0,0,0,0,5,0
0.0,0,0,0.0,0,0,0,10,0
11.75,4,1,12.5,4,0,0,7,1
0.0,0,0,0.0,0,0,0,0,0
0.0,0,0,0.0,0,0,1,4,0
0.0,0,0,0.0,0,0,1,0,0
12.4,5,1,12.5,6,0,0,15,1
11.666666666666666,3,1,12.8,5,0,0,9,0
11.0,1,1,10.0,1,0,0,11,0
10.2,5,1,11.25,4,0,0,10,0
12.61,7,1,12.61,7,1,0,8,1
12.6,5,1,12.0,2,0,0,6,1
13.5,6,0,13.0,5,0,0,7,1
13.0,5,1,12.0,4,1,0,8,1
0.0,0,1,12.0,4,0,0,8,0
11.0,1,1,12.0,1,0,0,9,0
0.0,0,1,0.0,0,0,0,0,1
0.0,0,0,0.0,0,0,1,9,0
11.75,4,1,13.625,5,0,1,9,0
0.0,0,1,0.0,0,0,0,0,0
11.69,7,1,11.69,7,0,0,8,1
0.0,0,0,0.0,0,0,1,12,0
0.0,0,1,0.0,0,0,0,0,1
11.285714285714286,5,1,11.5,4,0,0,11,1
0.0,0,1,14.0,1,0,0,0,0
12.4,5,1,11.0,5,0,0,7,1
13.166666666666666,6,1,12.857142857142858,6,0,0,6,1
11.333333333333334,6,1,12.5,4,0,0,6,0
15.018181818181818,8,1,14.528571428571428,7,0,0,11,1
12.625,6,1,13.0,6,1,0,10,1
15.188888888888888,8,1,15.957142857142856,7,1,0,9,1
11.0,5,1,13.25,5,0,0,8,1
12.0,3,1,12.0,3,0,0,10,0
13.75,4,0,13.0,4,0,1,9,0
13.666666666666666,3,1,11.77777777777778,9,0,1,11,0
0.0,0,1,11.0,2,0,0,10,0
0.0,0,1,0.0,0,0,0,5,0
10.857142857142858,6,1,12.428571428571429,14,0,0,13,0
0.0,0,1,0.0,0,0,0,0,1
12.5075,8,1,12.5075,8,0,0,8,1
12.0,11,1,12.090909090909092,11,0,0,14,1
11.333333333333334,2,1,10.0,1,0,0,8,0
13.2,5,1,13.5,6,0,0,9,1
13.625,6,1,14.166666666666666,6,0,0,8,1
14.714285714285714,6,1,14.0,6,0,0,7,1
0.0,0,1,0.0,0,0,0,5,0
11.333333333333334,3,1,11.666666666666666,3,0,0,10,0
14.2,5,1,14.6,5,0,0,5,1
11.5,5,1,13.0,5,0,0,13,1
12.0,6,1,12.166666666666666,6,0,0,9,1
12.0,1,1,0.0,0,0,0,5,0
10.8,3,1,10.5,3,0,0,11,0
0.0,0,1,0.0,0,0,0,0,1
0.0,0,0,0.0,0,0,0,8,0
13.828571428571427,7,1,13.828571428571427,7,0,0,8,1
11.666666666666666,6,1,11.5,6,0,0,6,1
13.625,6,1,13.5,4,0,0,8,1
0.0,0,1,0.0,0,0,0,0,0
12.614285714285714,7,1,12.5375,7,0,0,9,1
12.8,4,1,12.0,4,0,0,9,1
11.6,5,1,11.8,5,0,0,8,1
15.2,5,1,15.0,5,1,0,5,1
13.2,5,1,12.0,3,0,0,7,1
12.285714285714286,6,1,12.833333333333334,6,1,0,7,1
12.0,3,1,11.666666666666666,6,0,0,14,1
13.825,8,1,12.1625,7,0,0,8,1
14.555555555555555,6,1,13.833333333333334,6,0,0,11,1
13.571428571428571,6,1,12.125,6,1,0,7,1
11.545454545454543,11,1,11.454545454545457,11,0,0,16,0
10.0,3,0,12.0,4,1,0,14,0
12.6,5,0,12.666666666666666,6,0,1,9,0
13.77777777777778,6,1,12.666666666666666,6,0,0,9,1
11.461538461538462,13,1,11.88888888888889,18,0,0,13,1
0.0,0,1,0.0,0,0,0,0,0
11.6,4,0,13.0,4,0,1,8,0
15.744444444444444,8,1,16.885714285714283,7,0,0,9,1
12.333333333333334,6,1,12.5,6,0,0,6,1
15.8125,8,1,13.055555555555555,7,1,0,8,1
0.0,0,0,0.0,0,0,0,0,0
0.0,0,1,0.0,0,1,1,5,0
12.355714285714283,7,1,12.355714285714283,7,1,0,8,1
0.0,0,1,0.0,0,0,0,0,0
12.571428571428571,7,1,13.857142857142858,7,1,1,8,1
14.166666666666666,6,1,13.0,5,0,0,6,1
11.166666666666666,6,1,12.833333333333334,6,0,0,10,1
12.357142857142858,7,1,12.357142857142858,7,1,0,8,1
13.857142857142858,7,1,13.857142857142858,7,1,0,8,1
10.666666666666666,6,1,12.333333333333334,6,1,0,6,1
13.788888888888888,8,1,12.847142857142858,7,0,0,10,1
13.01875,8,1,12.339999999999998,6,1,0,9,1
12.5,6,1,13.833333333333334,6,0,0,6,1
10.0,2,1,10.75,2,0,0,11,0
10.25,4,1,13.25,4,0,0,10,0
13.73125,8,1,13.73125,8,1,0,8,1
12.666666666666666,3,1,13.333333333333334,6,1,0,8,0
10.8,5,1,12.0,5,0,0,9,0
11.333333333333334,6,1,10.88888888888889,9,0,0,10,1
13.811111111111112,8,1,13.025,7,0,0,9,1
14.166666666666666,6,1,13.0,6,0,0,6,1
12.0,5,1,11.8,5,0,0,10,1
12.042857142857144,7,1,12.042857142857144,7,1,0,8,1
15.5,8,1,12.8375,7,1,0,8,1
11.7,7,1,11.0,7,1,1,13,1
14.0,5,1,13.5,6,1,0,9,1
12.714285714285714,6,1,12.125,6,1,0,7,1
12.62857142857143,7,1,12.62857142857143,7,1,0,12,1
11.6,5,1,11.2,5,0,0,13,1
11.833333333333334,6,1,12.666666666666666,6,1,0,6,0
0.0,0,0,13.5,4,0,1,6,0
0.0,0,0,0.0,0,0,1,0,0
14.833333333333334,5,1,12.0,5,0,0,6,1
13.2125,8,1,12.228571428571428,7,0,0,10,1
10.75,4,1,11.5,4,0,0,5,1
16.428571428571427,6,1,15.375,6,0,0,7,1
12.614285714285714,7,1,12.614285714285714,7,0,0,11,1
11.5,6,1,12.2,5,1,0,6,1
11.0,4,1,11.75,4,0,0,10,1
11.454545454545457,11,1,10.923076923076923,13,0,0,13,1
12.4,5,1,12.4,5,0,0,9,1
0.0,0,1,0.0,0,0,0,6,0
15.5,6,1,15.833333333333334,6,0,0,8,1
13.666666666666666,6,1,12.571428571428571,6,0,0,6,1
13.25,4,1,12.0,3,0,0,7,1
14.444444444444445,8,1,13.3625,7,0,0,9,1
16.0,5,1,15.4,5,1,0,5,1
11.75,4,0,12.2,5,0,1,9,0
13.545454545454543,11,1,12.818181818181818,11,1,0,11,1
0.0,0,1,0.0,0,0,0,0,0
13.554736842105264,17,1,13.394736842105264,17,0,0,19,1
11.0,6,1,14.25,6,1,0,8,1
14.714285714285714,7,1,13.444444444444445,9,0,0,7,0
