alpha,u,class
348.9491566,24.43789,GALAXY
155.3825322,19.28256,GALAXY
157.9167669,18.6783,QSO
233.5470394,21.55951,GALAXY
218.4943595,27.10127,GALAXY
219.4043344,22.53234,GALAXY
8.497824975,23.2733,GALAXY
12.27911585,23.66623,GALAXY
40.12550638,23.04723,GALAXY
173.9845106,21.96245,GALAXY
171.7118263,18.92981,GALAXY
13.18660771,22.87967,QSO
253.2321808,21.94906,STAR
146.439282,23.64582,GALAXY
154.9992571,19.75519,GALAXY
129.5777165,25.40071,GALAXY
135.6885486,19.77462,GALAXY
169.863745,24.98477,STAR
216.7386149,26.25848,GALAXY
222.879539,20.54891,GALAXY
6.291804013,24.36881,GALAXY
263.0604632,17.84751,STAR
244.9043201,24.38507,GALAXY
338.7927186,25.72364,GALAXY
181.4076355,20.63578,QSO
144.8116911,24.45142,STAR
344.1731191,23.33889,GALAXY
344.7363945,25.25439,GALAXY
345.4177658,27.15929,GALAXY
2.172225938,21.5802,QSO
167.6970195,22.45479,STAR
338.7670717,22.55764,GALAXY
29.98416518,19.15626,QSO
137.2969378,22.79371,GALAXY
116.562614,19.75681,GALAXY
136.7230978,19.39632,GALAXY
119.125577,25.62371,GALAXY
139.0216404,22.92909,STAR
6.92376243,27.36843,GALAXY
7.422320376,21.7794,GALAXY
353.0493562,22.59323,QSO
207.9757918,18.98802,STAR
164.1158186,20.67499,QSO
116.0958893,20.16698,QSO
336.9000742,21.83943,GALAXY
1.450489567,20.56053,GALAXY
0.897616927,24.55362,GALAXY
346.5385253,22.54264,GALAXY
347.3297384,22.57449,GALAXY
184.9315004,20.18216,GALAXY
198.6633483,25.32373,GALAXY
336.8458991,22.24721,GALAXY
329.5320046,23.20142,STAR
330.9304162,25.2542,GALAXY
331.0818191,22.64225,GALAXY
345.0282098,21.62115,STAR
22.82819558,21.00585,GALAXY
316.825682,23.53811,GALAXY
40.49767767,23.20226,GALAXY
242.7101015,20.23238,STAR
241.056947,20.32845,STAR
160.7244709,22.75712,GALAXY
6.125301287,24.20276,GALAXY
253.903288,22.23756,GALAXY
136.129033,22.93348,GALAXY
341.7962244,22.41543,GALAXY
242.895108,18.45179,GALAXY
254.3174856,19.01066,GALAXY
238.1899641,20.40665,GALAXY
179.7502037,20.85931,STAR
189.8541471,16.58941,STAR
241.4590468,18.25378,GALAXY
244.7729047,21.64464,GALAXY
12.27257455,19.3772,GALAXY
181.0716073,20.51585,QSO
182.7731945,21.52916,QSO
338.5802286,22.12341,GALAXY
346.5019246,22.28893,QSO
327.7840794,23.03421,GALAXY
5.24539637,26.19394,GALAXY
338.1475803,20.14869,GALAXY
235.2159434,24.28438,GALAXY
251.0647535,18.27611,GALAXY
232.5869424,19.03692,GALAXY
229.2830273,20.41988,GALAXY
354.438295,19.26509,STAR
132.3677285,22.92736,GALAXY
343.6384881,23.76551,GALAXY
139.420929,25.42519,GALAXY
127.5910367,22.59955,GALAXY
329.9996234,22.99822,QSO
211.9374232,24.46953,GALAXY
348.7029987,24.88311,QSO
5.558010114,21.45356,QSO
165.9244452,22.98389,GALAXY
135.7433358,20.77593,STAR
249.6085305,20.03447,QSO
125.8853125,20.71819,STAR
133.1104174,24.74097,GALAXY
40.29111418,24.7618,GALAXY
24.95262562,23.65257,GALAXY
36.91526376,18.78726,STAR
217.7677579,25.02263,GALAXY
4.617657052,25.22674,GALAXY
345.3192011,21.30888,QSO
349.7471568,19.23088,STAR
66.51820543,19.05087,STAR
210.841126,21.84786,STAR
24.0073888,22.32961,QSO
177.892986,19.34375,GALAXY
162.6116843,19.27099,GALAXY
218.5622031,19.51559,GALAXY
331.9915779,21.51034,STAR
43.67258231,24.02046,GALAXY
134.2559804,24.69369,QSO
144.8394348,21.74668,GALAXY
145.1552789,21.97341,GALAXY
130.3277566,20.3372,GALAXY
169.394457,19.55769,QSO
171.2128039,25.24017,STAR
173.0467607,19.9559,STAR
26.43282911,23.0005,GALAXY
340.769739,26.59091,GALAXY
242.1654629,20.14127,GALAXY
341.822557,22.75185,QSO
346.6500755,20.87844,GALAXY
329.5646293,21.65404,QSO
267.8727335,18.04481,STAR
118.1620721,23.07223,GALAXY
332.3230115,24.65833,GALAXY
345.4239245,26.33056,GALAXY
135.3762364,23.81485,GALAXY
0.724235845,19.54506,STAR
215.0940347,19.58494,QSO
230.8610876,22.60694,GALAXY
120.951332,23.25148,GALAXY
153.3603274,23.35156,GALAXY
197.5909602,23.21531,GALAXY
131.0799197,24.18559,STAR
156.8166525,22.74399,GALAXY
159.6604774,22.10259,GALAXY
244.558638,21.52871,GALAXY
231.4161767,22.85925,GALAXY
155.0045483,20.36963,GALAXY
155.2195719,19.82232,GALAXY
347.5654299,23.33595,GALAXY
348.9732321,22.62726,GALAXY
37.50434375,25.15959,STAR
237.540105,20.77034,GALAXY
228.626249,21.91896,QSO
357.8852821,21.08625,QSO
5.808392305,21.85297,GALAXY
15.80591297,19.9007,GALAXY
343.0680771,26.11718,STAR
166.0169345,22.56449,GALAXY
158.855497,25.98469,GALAXY
352.1522152,24.38471,GALAXY
353.4866729,21.97973,GALAXY
2.081037181,23.29982,GALAXY
152.4807359,19.55399,STAR
241.6234263,20.21895,GALAXY
151.3390875,23.94282,GALAXY
12.90647339,22.26926,QSO
10.76788382,22.23041,QSO
11.56886472,23.19861,QSO
233.6638714,17.3051,GALAXY
346.3236975,22.74142,GALAXY
10.11395548,19.98815,GALAXY
181.8332574,21.56795,QSO
125.9283254,25.89417,GALAXY
148.4801952,23.50447,GALAXY
128.7642757,21.98972,GALAXY
127.1969758,24.62157,GALAXY
129.3916924,25.1093,GALAXY
136.6631615,25.73747,GALAXY
340.0683226,16.96466,GALAXY
235.8200703,23.1526,GALAXY
234.785777,20.06275,GALAXY
233.4412817,18.68872,GALAXY
129.6314055,24.97202,GALAXY
187.1006367,21.68158,QSO
329.6450786,24.4593,QSO
328.3770947,22.72095,GALAXY
317.7220038,23.23128,GALAXY
214.9224368,25.15787,GALAXY
21.02211028,19.88843,QSO
352.4763402,19.22127,QSO
119.622158,19.2069,GALAXY
132.7799387,23.07471,GALAXY
131.2592813,25.00014,GALAXY
140.3021651,19.27454,GALAXY
44.24712306,22.7732,GALAXY
44.7265667,22.82083,GALAXY
131.9823678,23.32006,GALAXY
118.180953,18.95101,STAR
126.8565997,19.79291,STAR
131.7161646,20.30552,QSO
131.7952121,21.24145,STAR
2.826430318,20.00457,GALAXY
167.3392706,23.13416,GALAXY
117.4670379,21.29262,GALAXY
13.65664102,21.79432,QSO
226.8658046,21.98354,GALAXY
246.2735186,22.31733,GALAXY
338.6799185,21.89082,QSO
348.2478408,19.03688,STAR
352.6070757,22.88479,GALAXY
210.7974015,21.85144,GALAXY
178.0560742,19.4133,GALAXY
47.23418626,20.39584,QSO
339.9403581,18.56529,STAR
130.9928365,24.25059,GALAXY
132.0914211,24.59292,STAR
133.9514272,23.62046,GALAXY
127.115773,24.68645,GALAXY
353.9582671,23.9188,STAR
338.0557631,24.76785,GALAXY
344.0177535,22.70922,GALAXY
128.713522,22.66286,GALAXY
356.7913071,22.15897,STAR
8.352585229,26.44692,GALAXY
10.21957232,25.94283,GALAXY
316.8945139,26.83779,GALAXY
32.28962496,22.90951,GALAXY
243.918745,22.43314,GALAXY
193.8320657,20.84887,QSO
338.2832674,24.10556,STAR
344.1378887,23.83055,GALAXY
329.321952,23.20872,GALAXY
351.3146791,27.16486,GALAXY
26.79775039,25.56209,GALAXY
27.92420934,24.39606,GALAXY
331.690805,20.50751,GALAXY
242.4132119,18.65297,GALAXY
148.5913752,19.05938,GALAXY
249.9361054,22.73596,QSO
122.734614,21.4281,GALAXY
188.0850377,20.11526,GALAXY
191.7935075,20.11847,GALAXY
172.8092675,23.11764,GALAXY
179.5148699,24.21667,GALAXY
179.8589312,25.58833,GALAXY
154.7484594,22.91037,GALAXY
347.1281869,22.82882,GALAXY
349.5761689,21.06539,QSO
14.12311387,19.28338,GALAXY
6.644481658,22.29008,GALAXY
127.7107753,19.624,GALAXY
347.7965942,22.39199,QSO
227.7210371,17.70671,STAR
240.3012216,21.10217,QSO
2.213091551,21.29851,QSO
7.425832847,22.76363,QSO
16.53625631,20.96592,QSO
218.4630024,24.54726,STAR
173.650657,18.50882,GALAXY
134.2819875,23.40868,GALAXY
258.7447245,20.25485,STAR
148.5275911,25.81813,GALAXY
147.4963277,21.15942,GALAXY
134.1487106,22.16146,GALAXY
341.0514358,23.86698,GALAXY
231.904289,18.12367,GALAXY
354.4642304,25.145,STAR
335.8660388,19.54333,GALAXY
11.03576271,25.25697,GALAXY
317.6047685,19.57571,GALAXY
345.3090537,23.71107,GALAXY
341.5029093,25.00198,QSO
29.02685253,22.22021,GALAXY
11.70155906,22.80719,STAR
14.27879291,22.56665,QSO
136.935013,22.28132,GALAXY
116.4999583,26.41319,STAR
342.9575058,22.19338,GALAXY
170.1629741,22.454,GALAXY
199.0765553,21.00248,GALAXY
174.2762741,19.59602,GALAXY
197.5947036,20.48247,GALAXY
164.7469432,22.71783,GALAXY
135.214699,21.67397,QSO
136.1221312,23.28498,STAR
148.6703216,23.12724,GALAXY
154.8752425,23.24846,GALAXY
160.7764511,20.43288,STAR
137.0858853,22.35982,GALAXY
340.0696624,24.42985,GALAXY
333.3064195,19.79645,GALAXY
237.3771394,23.78646,GALAXY
235.1465621,20.899,GALAXY
339.392479,22.6121,GALAXY
158.8995337,25.4663,STAR
152.006316,23.65132,GALAXY
40.99360109,22.56986,GALAXY
42.56946992,19.38691,STAR
156.3650467,20.48994,GALAXY
117.3921413,23.41949,GALAXY
15.86594041,23.37152,GALAXY
330.9386933,23.71871,GALAXY
8.637128353,24.58678,QSO
31.42925227,22.97042,GALAXY
156.9982921,25.13461,QSO
148.5589532,19.63125,GALAXY
164.2795913,24.24,GALAXY
169.6014939,20.16565,GALAXY
171.7092841,22.08704,GALAXY
204.3248639,23.02883,GALAXY
189.7457265,20.96024,GALAXY
169.9016751,25.18027,GALAXY
144.855506,25.10174,GALAXY
140.8046211,24.83632,GALAXY
163.2493246,22.56936,STAR
351.4000383,24.03803,GALAXY
356.2771107,24.83085,GALAXY
20.59393918,25.61548,GALAXY
329.672984,23.37487,GALAXY
7.759489968,21.7886,GALAXY
318.591788,23.90734,GALAXY
193.1980924,19.27775,GALAXY
335.3872551,22.27039,GALAXY
344.5191355,22.54692,QSO
345.3987307,22.4175,STAR
8.07161932,20.7604,GALAXY
147.1794173,22.10328,QSO
127.47362,22.69967,GALAXY
16.19032409,22.7568,QSO
126.0968996,21.01361,QSO
65.03976872,19.53551,GALAXY
224.6392951,23.83581,GALAXY
332.4260586,24.51002,GALAXY
112.676211,19.60991,QSO
350.5220278,22.11725,GALAXY
346.2535974,26.36151,GALAXY
1.597171234,25.31584,GALAXY
185.3332698,22.62137,GALAXY
198.298056,19.41436,GALAXY
339.9673713,23.17074,GALAXY
1.055017136,22.83766,GALAXY
215.0392737,23.92797,GALAXY
346.6395668,21.81111,GALAXY
162.2760315,23.40639,GALAXY
117.1946223,24.82749,STAR
14.11009355,22.95447,QSO
195.1444964,17.43713,GALAXY
10.99872811,22.47388,STAR
244.4923445,21.13853,STAR
243.3032266,23.52547,GALAXY
223.3067052,23.69933,GALAXY
226.2002083,21.48309,GALAXY
176.6127657,19.17406,GALAXY
243.6740637,17.81819,QSO
159.7692054,23.34356,GALAXY
160.6638379,22.84848,GALAXY
169.4618224,19.75693,GALAXY
343.9859683,22.79601,GALAXY
244.1013958,24.96328,GALAXY
2.891352509,22.77464,QSO
4.213670964,23.50841,QSO
143.4157598,22.46279,GALAXY
141.6389127,24.20955,GALAXY
339.0425509,23.45107,GALAXY
19.63219345,26.12356,GALAXY
211.56048,26.06626,GALAXY
12.7489369,23.41424,GALAXY
198.4196843,18.96543,GALAXY
201.2419737,21.77925,GALAXY
197.0852202,24.80751,GALAXY
207.3605006,21.206,GALAXY
39.92286043,18.83314,STAR
354.7892568,25.5777,STAR
342.1334137,24.3683,GALAXY
232.5136511,19.00943,GALAXY
340.9332228,23.7056,GALAXY
7.677618573,20.67826,QSO
134.7352348,26.10664,GALAXY
340.7164608,22.54503,GALAXY
126.6230494,19.67174,GALAXY
11.63293111,23.68057,STAR
11.98296153,19.89547,QSO
157.4583048,20.47094,STAR
3.963846167,21.27081,QSO
346.2989194,17.48383,STAR
122.3337519,23.32836,GALAXY
267.1009625,21.14313,STAR
192.3212316,23.02254,GALAXY
175.8827017,19.27139,GALAXY
250.7298983,20.3212,GALAXY
249.2426464,26.00617,GALAXY
7.122556345,21.50137,GALAXY
232.8504286,18.77781,QSO
151.1545487,22.30284,GALAXY
348.0889224,17.56954,STAR
332.156615,25.05691,GALAXY
229.2629359,19.90628,GALAXY
11.65846821,23.60686,GALAXY
10.28382317,19.86134,GALAXY
26.95743641,22.49892,GALAXY
218.5224991,20.05213,QSO
146.0970541,24.66697,GALAXY
144.2899481,22.73998,GALAXY
147.8271085,22.8451,GALAXY
147.9306526,22.18023,GALAXY
258.45783,24.56467,GALAXY
135.2828301,20.9621,GALAXY
351.6282033,25.16733,GALAXY
343.2814432,22.43317,GALAXY
219.309489,19.42096,QSO
127.8718863,24.14066,GALAXY
127.1498864,21.41066,GALAXY
131.4355096,23.37185,GALAXY
132.0168339,21.67611,GALAXY
134.8534441,24.03398,GALAXY
121.6403917,23.99352,GALAXY
137.1873485,19.19234,GALAXY
334.4003118,24.33932,GALAXY
229.7478772,17.75985,GALAXY
359.9463159,22.66346,GALAXY
0.417823185,20.61647,GALAXY
21.18926153,24.45046,GALAXY
9.289211993,19.22952,GALAXY
8.034590912,25.58434,GALAXY
178.0314783,20.51873,QSO
179.8384053,21.88256,QSO
145.493719,22.59135,STAR
129.0847522,23.79713,GALAXY
323.4598366,22.58904,GALAXY
137.9954786,20.86609,GALAXY
123.4338381,18.858,GALAXY
153.1578233,22.89553,GALAXY
177.674242,26.16889,GALAXY
127.9062697,23.56445,STAR
190.0087576,22.59072,GALAXY
335.5131394,25.99977,GALAXY
169.8677852,22.47215,GALAXY
39.73863751,26.03595,GALAXY
39.84830332,26.51218,QSO
168.6214721,19.49174,GALAXY
175.6704957,24.91118,GALAXY
9.397749476,26.26783,GALAXY
5.519175823,22.9368,GALAXY
346.5547344,24.39371,GALAXY
348.3570462,22.96862,STAR
233.9357646,23.53299,GALAXY
128.6701386,24.70283,GALAXY
141.2377382,21.58138,GALAXY
172.6799257,21.70847,GALAXY
349.387068,23.05693,STAR
15.54487318,22.13902,QSO
179.6305004,22.51727,GALAXY
331.9476571,24.56808,GALAXY
233.4711102,20.81306,GALAXY
241.041779,19.81429,GALAXY
253.4350873,18.26101,STAR
145.549371,26.04782,GALAXY
146.8165878,26.26923,GALAXY
153.1679301,24.27135,STAR
2.880406064,24.27044,QSO
229.6963242,20.47756,GALAXY
238.9871441,19.63504,GALAXY
349.8644466,22.41986,GALAXY
7.526188753,21.42885,QSO
176.8571939,20.80291,GALAXY
180.4386167,22.00369,GALAXY
180.9648895,22.33831,QSO
146.8951646,21.13731,STAR
337.519826,20.02493,GALAXY
334.6561688,24.16115,GALAXY
335.1022474,23.97927,GALAXY
126.3041285,18.66021,GALAXY
135.656066,24.39658,GALAXY
334.8880359,22.58106,STAR
348.7897367,24.17703,GALAXY
16.37836791,25.42744,GALAXY
270.4441981,20.36806,STAR
243.4596093,20.02674,QSO
44.63524672,25.31808,GALAXY
186.3661963,23.1922,GALAXY
124.1273645,22.18258,STAR
183.8972746,19.21718,GALAXY
186.5467259,17.8455,GALAXY
209.6198974,18.27416,GALAXY
347.6540663,25.46499,GALAXY
349.7482267,24.7552,STAR
343.1339189,21.75958,GALAXY
346.7132342,21.23156,STAR
347.9832671,19.8078,STAR
349.3137379,20.12043,QSO
164.2291215,20.1632,GALAXY
144.8889914,26.06642,GALAXY
222.2421555,24.52977,GALAXY
335.8309035,20.7768,QSO
350.5724017,21.12344,QSO
344.5880518,22.27257,QSO
130.3468039,25.70457,GALAXY
19.37185613,22.81359,GALAXY
25.20309637,23.40175,GALAXY
149.5725959,19.96465,QSO
152.0945096,24.87313,GALAXY
163.8260992,26.7228,GALAXY
6.832538412,21.83772,QSO
232.422771,19.81457,GALAXY
184.8339097,22.36334,QSO
343.8643584,23.41644,GALAXY
39.4089705,18.49019,STAR
1.097835741,24.37503,QSO
243.5885544,20.50992,STAR
43.68551589,25.7596,GALAXY
6.865936859,27.22902,GALAXY
11.50539326,20.76827,GALAXY
331.8647524,24.01917,GALAXY
3.114580986,21.07027,QSO
234.4188514,20.84553,GALAXY
232.9009377,24.31151,GALAXY
193.8695645,21.35319,STAR
253.9064188,21.17775,GALAXY
145.1412154,23.66208,GALAXY
3.049543324,21.01768,QSO
14.70339174,21.06145,STAR
179.9065231,21.19274,QSO
181.6663413,21.60686,QSO
241.9543419,20.71997,GALAXY
9.687321898,22.114,QSO
356.1705293,25.26096,GALAXY
345.705024,19.58314,QSO
335.7504121,23.5941,GALAXY
336.2301874,19.9285,GALAXY
336.4022646,20.22107,GALAXY
333.8726221,22.77295,GALAXY
231.3316642,23.45292,GALAXY
234.9426976,22.75552,GALAXY
231.0390141,18.88262,GALAXY
319.1862169,19.66683,STAR
144.7926477,27.24852,GALAXY
145.8610616,22.94196,GALAXY
176.5891541,22.46781,GALAXY
346.8925828,23.34303,GALAXY
347.2726671,23.94217,GALAXY
176.1047589,17.62475,GALAXY
173.6980601,20.11101,GALAXY
64.81169724,18.40382,GALAXY
239.9841022,19.42303,QSO
228.0188263,24.17132,GALAXY
175.5412518,23.60673,GALAXY
344.1506756,23.13129,STAR
252.7871529,18.0367,STAR
152.6315191,19.38389,GALAXY
156.5787196,25.64737,GALAXY
345.8254893,26.84833,GALAXY
340.1328008,22.48677,GALAXY
0.024257885,21.5686,QSO
214.7750241,18.91452,GALAXY
199.0253755,19.91538,GALAXY
172.3219303,18.65318,GALAXY
167.9888963,22.92518,GALAXY
132.5834205,20.55308,GALAXY
144.6131762,23.54742,GALAXY
137.9875365,19.19184,GALAXY
6.289883944,22.53341,QSO
240.2018316,20.22885,GALAXY
232.1228315,24.30762,GALAXY
345.1456628,19.94372,QSO
1.678368065,22.72127,STAR
14.24468839,22.67677,GALAXY
318.8293504,24.1864,GALAXY
332.1745036,26.73432,GALAXY
345.3528987,27.03757,QSO
340.7136415,24.44211,GALAXY
178.8189832,21.96587,QSO
146.517409,20.79183,QSO
221.2437168,23.86601,STAR
166.6736446,22.53831,GALAXY
335.6285421,24.97505,GALAXY
339.0865754,24.93615,GALAXY
353.7109154,21.1789,QSO
1.794516297,24.56543,STAR
10.6863996,21.58351,GALAXY
140.0064153,20.39833,GALAXY
124.6531895,23.34257,STAR
243.4320545,19.03519,STAR
147.2619669,21.64224,QSO
186.7435908,23.62589,GALAXY
115.8144913,20.90764,QSO
126.7540855,21.33127,QSO
359.0772657,22.68789,GALAXY
158.0626043,22.3086,GALAXY
200.5081031,18.70436,GALAXY
15.2372704,22.53424,STAR
45.23644306,21.78383,STAR
37.48922767,18.73422,STAR
192.9295696,22.89602,GALAXY
342.6837676,25.65464,STAR
252.9435362,21.10303,STAR
346.1055067,24.50024,GALAXY
357.1538849,24.12914,GALAXY
8.032881527,21.73293,GALAXY
226.2250465,18.88322,STAR
241.6159363,17.6526,STAR
359.9398061,22.50606,GALAXY
195.8158343,24.9051,STAR
193.6557876,19.93753,QSO
123.6115565,18.78938,GALAXY
5.466045007,23.40267,GALAXY
1.776702909,24.17059,STAR
131.9589688,23.02586,GALAXY
135.89017,25.09695,GALAXY
242.9402282,19.887,GALAXY
349.1298595,22.44374,GALAXY
323.6927217,23.24508,GALAXY
23.90528012,22.41057,GALAXY
5.657430228,23.20474,GALAXY
220.7695146,23.20728,QSO
165.3857833,19.4892,GALAXY
50.12303075,19.67672,STAR
178.9593107,21.26512,QSO
148.4614585,24.64779,STAR
345.6761518,23.52668,GALAXY
358.8660692,25.1275,GALAXY
245.1473655,18.11034,GALAXY
348.4344794,23.92736,GALAXY
11.49699348,24.55819,GALAXY
119.5400738,22.72312,GALAXY
317.3148679,21.18879,QSO
337.9030419,22.6362,QSO
11.58226166,21.2357,QSO
110.2371941,19.59639,GALAXY
187.5027213,21.50669,QSO
130.3053593,23.49809,STAR
341.4960493,15.69896,STAR
172.396373,22.69928,GALAXY
185.3682503,19.49158,GALAXY
190.4611493,22.81144,GALAXY
346.8700878,22.40845,GALAXY
347.0576079,22.78363,GALAXY
347.1338314,24.58674,GALAXY
240.9900462,21.66093,STAR
147.9463213,22.02208,GALAXY
164.0161873,25.34081,GALAXY
13.26032535,22.13137,QSO
357.3920477,24.82368,GALAXY
158.3973912,22.64292,GALAXY
186.731729,25.43827,GALAXY
187.0937407,20.71196,GALAXY
340.800729,22.35328,GALAXY
342.4247322,26.83755,GALAXY
239.984236,19.10455,GALAXY
233.8882219,17.68997,GALAXY
243.5946033,20.53238,STAR
230.6660454,20.8865,STAR
39.69827793,22.05317,GALAXY
26.16334726,22.03009,GALAXY
354.5106955,22.02736,GALAXY
8.716276787,24.07086,GALAXY
145.747074,22.65039,GALAXY
234.2077777,20.42681,GALAXY
252.8730257,16.15454,GALAXY
30.64563518,21.46245,STAR
339.7739124,24.87718,QSO
242.0342677,20.42562,GALAXY
183.7349336,20.87098,GALAXY
235.5332742,23.92,GALAXY
179.4684864,20.32755,QSO
11.7908331,22.54504,STAR
19.61752235,21.29604,QSO
19.95963791,21.91576,QSO
20.28805932,21.65558,QSO
339.9390945,22.17715,GALAXY
13.78169835,23.18134,GALAXY
193.6001507,24.12964,STAR
132.624276,24.52744,GALAXY
121.8631938,20.05276,GALAXY
336.3664933,23.60974,GALAXY
117.337927,20.27449,GALAXY
241.7501889,24.63466,GALAXY
160.1193552,23.87847,GALAXY
126.4130001,21.92019,QSO
44.48828915,23.24093,GALAXY
7.061956122,23.19783,GALAXY
115.6156025,20.82405,STAR
244.6742287,19.55336,GALAXY
172.2081229,19.96967,GALAXY
182.0481772,21.01261,GALAXY
202.7399994,22.30677,GALAXY
347.4943823,25.42817,GALAXY
344.3331202,21.61972,QSO
255.9707517,24.05667,GALAXY
237.2727912,19.39344,QSO
213.7098047,19.90453,GALAXY
206.6727234,18.91508,GALAXY
345.7140151,18.47566,STAR
7.920700151,22.94501,GALAXY
17.6075582,24.3801,GALAXY
10.87169053,26.02025,GALAXY
211.2360329,19.07693,GALAXY
121.0720763,26.32042,STAR
175.1630695,19.47248,GALAXY
145.5093114,21.11854,GALAXY
138.6764142,24.08766,GALAXY
241.5568906,20.38623,STAR
8.979315263,21.89614,QSO
340.2951868,26.86662,GALAXY
118.947924,24.63466,STAR
267.578978,18.52971,STAR
117.3905232,20.37351,STAR
116.6459971,18.95453,GALAXY
118.9097685,22.27678,STAR
330.3757654,25.62583,STAR
338.334092,24.99568,GALAXY
337.3726918,24.00931,GALAXY
197.1061995,18.65721,GALAXY
38.03785196,19.95566,STAR
329.6485648,23.27169,GALAXY
44.9638286,19.78907,QSO
143.7651058,23.25049,STAR
125.5692705,23.93977,GALAXY
249.1700656,17.42618,STAR
13.58667172,19.93316,STAR
236.7464862,25.40508,GALAXY
129.6511236,20.62735,GALAXY
141.6359932,24.68357,GALAXY
137.7379122,21.66236,GALAXY
172.4818067,20.10875,STAR
341.4395087,21.90152,GALAXY
334.7233707,22.10732,GALAXY
44.42023813,23.58547,GALAXY
111.7318419,19.7495,GALAXY
145.0156567,24.57541,GALAXY
148.8000205,24.75793,GALAXY
162.106452,20.78325,STAR
